Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
53d7aee1-133e-4eb3-af5e-f1844d1e8725,f7c16e9dd2a30ba773947c211a16ec8605fae12ac7c810b55094232bee0e5ab3,You unexpectedly received 1000.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,20.0,Donation 1000.0,43,female,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",5,Will do revenge,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,5,People have best intentions,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,8,Good at math,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 10,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 201.6 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,27,Delay 201.6,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 5,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 10,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 15,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 20,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 20,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 25 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 25,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,Imagine someone did you a favor that cost them 30 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 30,35,male,Germany
8c438842-66d0-4634-a4d0-aba9872605bd,1b4b4ae721b732782733b2d99628cc72bae92233cdbc06cb0b9168e49b554056,You unexpectedly received 1000.0 EUR. How much of this amount would you donate to a good cause? Please answer with a single number.,30.0,Donation 1000.0,35,male,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 300 EUR and the same 50-percent chance of receiving nothing, OR Option 2: 10 EUR as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",0,Risk 10,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,What would you prefer? Option 1: A payment of 100 EUR today OR Option 2: 106.1 EUR in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 106.1,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,Imagine someone did you a favor that cost them 5 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,200.0,Reciprocation 5,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,Imagine someone did you a favor that cost them 10 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 10,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,Imagine someone did you a favor that cost them 15 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,66.66666666666666,Reciprocation 15,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,150.0,Reciprocation 20,53,female,Germany
f2074f30-2461-4021-9ace-c9be538f0ff5,3e8d103d94d328196d7cc6545807a8256ea83c20ac965f4f9884455257471a50,Imagine someone did you a favor that cost them 20 EUR. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 20,53,female,Germany
